County,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree or higher,
Allegany County,50190,1250,3793,21007,10030,4949,9161,
Anne Arundel County,390445,9171,21486,93031,76359,30577,159821,
Baltimore City,424578,19666,44463,126763,80893,20178,132615,
Baltimore County,574109,18929,31902,150542,111297,39666,221773,
Calvert County,61710,951,2822,18724,14651,5350,19212,
Caroline County,22389,1165,2446,9102,3994,1906,3776,
Carroll County,115982,2251,6794,34707,22230,8720,41280,
Cecil County,70507,2227,5541,26586,15325,4756,16072,
Charles County,105078,2308,4932,32983,25542,8934,30379,
Dorchester County,23253,818,2221,9168,4837,1382,4827,
Frederick County,168435,5246,7638,40866,32309,13944,68432,
Garrett County,21372,805,1485,9363,3509,1916,4294,
Harford County,173422,4054,8507,46075,38150,14574,62062,
 Howard County ,212511,4546,4981,29650,30720,12177,130437,
Kent County,13929,628,1044,3982,2640,876,4759,
Montogomery County,714495,35729,26788,94875,97134,38249,421720,
Prince George's County,611092,42416,39872,156769,135376,37039,199620,
Queen Anne's County,34843,744,2004,10300,6693,2958,12144,
Somerset County,17058,878,2209,6868,3521,908,2674,
St. Mary's County,73604,2498,4981,22068,14889,6004,23164,
Talbot County,28080,844,1789,7197,5236,2175,10839,
Washington County,104471,3584,10139,37982,21749,8608,22409,
Wicomico County,64156,2446,5187,20867,13613,4855,17188,
Worcester County,39149,969,2610,12372,8474,2817,11907,
,,,,,,,,
